title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,flag,genero pai,decade
Show Me Love - Radio Version,Robyn,art pop,2006,91,62,65,-4,32,72,229,8,3,46,True,pop,00s
"Shout, Pts. 1 & 2",The Isley Brothers,classic soul,1959,139,87,49,-7,88,42,269,75,9,60,True,soul,50s
Shout Out to My Ex,Little Mix,dance pop,2016,126,75,77,-4,11,80,246,2,9,77,True,pop,10s
Shiny Happy People,R.E.M.,alternative rock,1991,125,91,45,-4,23,81,226,3,4,72,True,rock,90s
She's so High,Tal Bachman,pop rock,1999,124,84,54,-5,10,21,225,20,4,71,True,rock,90s
She's The One,Robbie Williams,dance pop,1998,167,61,24,-8,22,33,258,66,3,68,True,pop,90s
She's Always a Woman,Billy Joel,classic rock,1977,177,32,29,-12,12,38,201,80,3,72,True,rock,70s
She Will Be Loved - Radio Mix,Maroon 5,pop,2002,102,66,65,-6,10,47,259,23,3,79,True,pop,00s
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,72,False,boy band,10s
She Drives Me Crazy,Fine Young Cannibals,art rock,1988,109,69,80,-6,3,97,216,19,4,73,True,rock,80s
Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,86,True,pop,10s
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,57,-7,9,28,217,42,3,75,True,pop,10s
"Shake, Rattle And Roll - Single Version",Bill Haley & His Comets,adult standards,1991,167,68,67,-11,16,82,150,16,14,51,True,adult standards,90s
Shackles (Praise You),Mary Mary,gospel,2000,100,83,78,-3,9,80,198,3,16,65,True,gospel,00s
Señorita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,79,True,pop,10s
SexyBack (feat. Timbaland),Justin Timberlake,dance pop,2006,117,58,97,-6,5,96,243,6,8,78,True,pop,00s
Sexy Bitch (feat. Akon),David Guetta,big room,2010,130,63,81,-5,13,80,196,8,5,64,True,house,10s
Set Fire to the Rain,Adele,british soul,2011,108,67,60,-4,11,45,243,0,2,80,True,soul,10s
September Song,JP Cooper,neo mellow,2017,96,62,61,-7,9,37,220,5,4,73,True,rock,10s
Send My Love (To Your New Lover),Adele,british soul,2015,164,53,69,-8,17,57,223,4,9,78,True,soul,10s
"See You Later, Alligator",Bill Haley & His Comets,adult standards,1991,157,70,66,-12,37,74,165,31,7,46,True,adult standards,90s
Sea Of Love,Phil Phillips,doo-wop,2010,128,56,46,-6,18,30,145,81,3,48,True,r&b,10s
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,194,74,32,-6,11,45,230,3,27,79,True,r&b,10s
Scared to Be Lonely,Martin Garrix,dance pop,2017,138,54,58,-8,26,20,221,9,6,78,True,pop,10s
Say You'll Be There,Spice Girls,dance pop,1996,107,68,73,-6,8,75,236,1,5,66,True,pop,90s
Say You Won't Let Go,James Arthur,pop,2016,99,56,40,-7,9,48,211,69,5,70,True,pop,10s
Say What You Want,Texas,dance pop,1997,96,84,63,-6,40,80,234,20,7,66,True,pop,90s
Say My Name,Destiny's Child,dance pop,1999,67,68,52,-4,13,75,271,27,16,64,True,pop,90s
Say It Right,Nelly Furtado,canadian latin,2006,117,87,87,-6,5,81,223,5,14,76,False,canadian latin,00s
Save the Last Dance for Me,The Drifters,adult standards,2005,143,53,54,-11,20,90,155,61,4,59,True,adult standards,00s
Save Tonight,Eagle-Eye Cherry,pop rock,1998,120,71,55,-9,28,65,243,0,3,72,True,rock,90s
Saturday Night at the Movies,The Drifters,adult standards,2005,135,55,71,-7,12,94,154,65,5,59,True,adult standards,00s
