title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,flag,genero pai,decade
Lucille,Little Richard,adult standards,1969,144,71,68,-12,17,92,144,59,7,55,True,adult standards,60s
Low (feat. T-Pain),Flo Rida,dance pop,2008,128,61,92,-6,14,30,231,9,8,82,True,pop,00s
Lovely Day,Bill Withers,funk,1977,98,65,69,-8,11,71,255,29,3,75,True,funk,70s
Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28,52,234,84,44,83,True,pop,10s
Love Will Keep Us Together,Captain & Tennille,adult standards,1975,130,79,62,-4,31,93,205,35,3,64,True,adult standards,70s
Love Train,The O'Jays,classic soul,1972,123,57,74,-10,16,68,178,19,5,70,True,soul,70s
Love Story,Taylor Swift,pop,2008,119,74,62,-4,8,31,236,13,3,75,True,pop,00s
Love Song,Sara Bareilles,acoustic pop,2007,123,79,58,-3,19,57,259,2,3,74,True,pop,00s
Love Someone,Lukas Graham,danish pop,2018,172,41,54,-7,11,27,205,17,5,72,True,pop,10s
Love Shack,The B-52's,art rock,1989,134,80,70,-7,70,90,321,5,5,72,True,rock,80s
Love Really Hurts Without You,Billy Ocean,disco,1976,141,91,52,-4,8,96,179,0,3,70,False,disco,70s
Love Potion No. 9 - Remastered / Single Version,The Clovers,brill building pop,1991,129,45,74,-13,18,79,113,57,15,61,True,pop,90s
"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",Elvis Presley,rock-and-roll,1958,103,4,40,-19,11,30,161,91,4,55,True,rock,50s
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26,-7,13,28,253,25,5,79,True,pop,10s
Love Letters In The Sand - Single Version,Pat Boone,adult standards,1962,89,20,57,-13,14,56,135,81,3,56,True,adult standards,60s
Love Is Strange - Remastered,Mickey & Sylvia,rhythm and blues,2020,120,66,65,-6,6,68,174,38,3,49,True,r&b,10s
Love Is In The Air,John Paul Young,australian dance,2009,122,79,56,-7,6,90,210,3,4,66,True,dance,00s
Love Is Here To Stay - Remastered 1998,Frank Sinatra,adult standards,1956,109,21,55,-13,10,42,163,68,3,60,True,adult standards,50s
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,boy band,1995,84,69,52,-7,11,55,246,23,3,72,False,boy band,90s
Love Don't Cost a Thing,Jennifer Lopez,dance pop,2001,98,84,79,-5,47,69,221,0,7,68,True,pop,00s
Love Changes (Everything),Climie Fisher,new romantic,1988,111,87,62,-6,19,81,268,31,3,66,False,new romantic,80s
Love And Marriage,Frank Sinatra,adult standards,1995,112,20,71,-12,15,63,159,77,3,48,True,adult standards,90s
Louie Louie,The Kingsmen,bubblegum pop,2006,122,71,62,-10,10,95,165,10,6,68,True,pop,00s
Long Train Runnin',The Doobie Brothers,album rock,1973,117,91,57,-7,6,84,207,9,4,72,True,rock,70s
Long Tall Sally (The Thing),Little Richard,adult standards,1957,185,61,47,-5,9,89,127,76,8,64,True,adult standards,50s
Lonely Teardrops,Jackie Wilson,adult standards,1959,137,48,52,-9,74,84,166,41,12,52,True,adult standards,50s
Lonely Boy,Paul Anka,adult standards,2000,106,61,62,-10,10,80,151,35,3,47,True,adult standards,00s
Lola,The Kinks,album rock,1970,152,92,47,-4,20,90,241,58,4,70,True,rock,70s
Locked out of Heaven,Bruno Mars,dance pop,2012,144,70,73,-4,31,87,233,5,4,84,True,pop,10s
Locked Away (feat. Adam Levine),R. City,reggae fusion,2015,118,67,51,-6,5,55,227,30,7,76,True,reggae,10s
Living Doll - 2003 Remaster,Cliff Richard & The Drifters,rock-and-roll,2017,63,46,57,-8,10,76,157,53,5,43,True,rock,10s
Livin' la Vida Loca,Ricky Martin,dance pop,1999,178,95,43,-4,6,93,243,0,5,74,True,pop,90s
Livin' Thing,Electric Light Orchestra,album rock,1976,123,65,55,-7,12,37,212,58,3,69,True,rock,70s
Livin' On A Prayer,Bon Jovi,glam metal,1986,123,89,53,-4,29,80,249,8,3,83,True,rock,80s
Live Your Life,T.I.,atl hip hop,2008,160,86,38,-3,21,48,339,7,26,76,True,hip hop,00s
Little Lies - 2017 Remaster,Fleetwood Mac,album rock,1987,125,65,64,-10,6,87,221,22,3,72,True,rock,80s
Little Darlin',The Diamonds,brill building pop,1996,153,59,63,-11,33,66,129,54,4,55,True,pop,90s
Little Bitty Pretty One,Thurston Harris,rock-and-roll,1959,88,88,70,1,6,89,143,78,24,56,True,rock,50s
Listen to the Music,The Doobie Brothers,album rock,1972,106,60,65,-13,7,91,227,22,3,75,True,rock,70s
Linger,The Cranberries,irish rock,1993,95,43,44,-15,14,20,275,8,3,76,True,rock,90s
Like a Rolling Stone,Bob Dylan,classic rock,1965,95,72,48,-7,19,56,370,73,3,72,True,rock,60s
Like a Prayer,Madonna,dance pop,1989,112,63,66,-12,17,32,341,43,4,65,True,pop,80s
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2015,108,53,63,-7,18,42,225,40,4,80,True,pop,10s
Like I Can,Sam Smith,dance pop,2014,100,63,66,-7,12,48,167,34,4,86,True,pop,10s
Life Is A Highway,Tom Cochrane,canadian indie,1991,103,90,68,-3,29,75,266,5,5,64,True,indie,90s
Life,Des'ree,europop,1998,105,74,72,-5,8,71,216,11,4,66,True,pop,90s
Let's Stay Together,Al Green,classic soul,1972,102,40,76,-11,5,51,199,57,5,74,True,soul,70s
Let's Groove,"Earth, Wind & Fire",disco,1981,125,65,87,-9,13,90,339,12,6,82,False,disco,80s
Let's Get Loud,Jennifer Lopez,dance pop,1999,131,94,82,-5,33,92,238,14,5,68,True,pop,90s
Let's Dance - 2002 Remaster,David Bowie,art rock,1983,115,64,65,-10,21,79,248,1,5,65,True,rock,80s
Let Your Love Flow,The Bellamy Brothers,country,1976,109,55,68,-15,14,95,199,6,3,70,True,country,70s
Let Me Love You,DJ Snake,dance pop,2016,100,72,65,-5,14,16,206,9,3,82,True,pop,10s
Let Me Love You,Mario,dance pop,2004,95,58,66,-9,12,56,257,24,9,74,True,pop,00s
Let Me Entertain You,Robbie Williams,dance pop,1997,125,97,48,-5,9,35,262,0,6,67,True,pop,90s
Let Me Down Slowly,Alec Benjamin,alt z,2018,150,56,65,-6,12,48,169,74,3,84,False,alt z,10s
Leaving on a Jet Plane,"Peter, Paul and Mary",american folk revival,1967,133,17,41,-17,12,38,207,80,5,61,True,folk,60s
Lean on Me,Bill Withers,funk,1972,75,22,62,-14,12,43,259,78,7,71,True,funk,70s
Layla,Derek & The Dominos,album rock,1970,116,90,40,-4,29,50,424,58,7,75,True,rock,70s
"Lay, Lady, Lay",Bob Dylan,classic rock,1969,156,18,52,-22,13,41,197,36,5,63,True,rock,60s
Laughter In The Rain,Neil Sedaka,adult standards,2007,101,61,50,-9,4,92,170,35,2,66,True,adult standards,00s
Last Train to Clarksville - Original Stereo Version; 2006 Remaster,The Monkees,beatlesque,1966,197,62,24,-8,72,68,164,3,3,50,True,rock,60s
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012,126,82,65,-4,67,77,231,0,4,75,True,pop,10s
Landslide,Fleetwood Mac,album rock,1975,159,16,41,-22,12,42,199,88,3,77,True,rock,70s
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Christina Aguilera,dance pop,2001,110,80,76,-4,67,65,265,1,5,69,True,pop,00s
Lady Marmalade,Patti LaBelle,disco,1982,118,65,57,-11,6,95,235,55,5,55,False,disco,80s
La Isla Bonita,Madonna,dance pop,1986,100,82,72,-4,6,96,243,30,3,72,True,pop,80s
La Bamba - Single Version,Ritchie Valens,adult standards,1959,75,81,52,-6,30,94,127,79,5,65,True,adult standards,50s
Kokomo,The Beach Boys,baroque pop,2013,116,57,68,-12,13,94,218,1,4,71,True,pop,10s
"Knowing Me, Knowing You",ABBA,europop,1976,107,73,55,-7,24,91,242,4,3,64,True,pop,70s
Knockin' On Heaven's Door,Bob Dylan,classic rock,1973,140,40,51,-13,11,23,150,25,3,72,True,rock,70s
Knock on Wood,Eddie Floyd,classic soul,1967,105,35,86,-13,5,96,190,28,4,61,True,soul,60s
Knock You Down,Keri Hilson,dance pop,2009,155,88,59,-5,17,65,326,1,16,57,True,pop,00s
Kiss from a Rose,Seal,british soul,1994,132,53,58,-7,31,22,288,68,3,73,True,soul,90s
Kiss You All Over,Exile,yacht rock,1983,102,27,74,-17,10,50,214,25,3,56,True,rock,80s
Kiss Me Thru The Phone,Soulja Boy,atl hip hop,2008,150,71,76,-4,7,80,193,2,11,77,True,hip hop,00s
Kiss Me,Sixpence None The Richer,neo mellow,1997,100,75,53,-7,7,42,209,2,3,77,True,rock,90s
Kiss,Prince,funk,1986,111,27,90,-12,5,74,226,1,9,73,True,funk,80s
Keep on Loving You,REO Speedwagon,album rock,1980,175,72,31,-6,12,41,200,5,3,71,True,rock,80s
Keep A-Knockin',Little Richard,adult standards,1969,172,82,40,-13,6,96,136,1,32,47,True,adult standards,60s
Karma Chameleon,Culture Club,disco,1989,92,47,67,-15,12,96,242,23,3,66,False,disco,80s
Justified & Ancient,The KLF,acid house,2021,111,95,63,-5,43,52,228,0,6,54,True,dance,10s
Just the Way You Are,Bruno Mars,dance pop,2010,109,84,64,-5,9,43,221,2,4,78,True,pop,10s
Just the Way You Are,Billy Joel,classic rock,1977,139,45,59,-9,13,51,291,70,4,70,True,rock,70s
Just Like a Woman,Bob Dylan,classic rock,1966,115,44,56,-10,35,47,290,77,4,52,True,rock,60s
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2012,95,55,78,-7,13,44,243,35,5,81,True,pop,10s
Just Dance,Lady Gaga,dance pop,2008,119,74,82,-5,18,75,242,3,3,76,True,pop,00s
Just Can't Get Enough,Depeche Mode,dance rock,1981,128,77,77,-9,18,92,221,40,4,71,True,rock,80s
Just A Gigolo - Remastered,Louis Prima,adult standards,1991,125,40,53,-12,6,72,283,60,9,54,True,adult standards,90s
Jumpin' Jack Flash,The Rolling Stones,british invasion,2021,137,89,60,-8,8,64,223,7,5,62,True,rock,10s
Jump - 2015 Remaster,Van Halen,album rock,1984,130,84,57,-6,7,80,242,17,3,78,True,rock,80s
Jump (Original Mix),The Pointer Sisters,dance pop,1983,134,83,85,-8,12,81,263,9,10,64,True,pop,80s
Joyride,Roxette,europop,1991,102,77,63,-5,48,73,263,5,3,60,True,pop,90s
Joy To The World,Three Dog Night,album rock,2003,129,73,59,-14,12,97,215,4,3,47,True,rock,00s
Jolene,Dolly Parton,classic country pop,1974,111,54,67,-11,13,81,162,57,4,73,True,pop,70s
Johnny B. Goode,Chuck Berry,blues rock,1959,168,80,53,-9,31,97,162,74,7,76,True,rock,50s
"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Bee Gees,disco,1975,106,55,81,-13,16,73,222,16,6,63,False,disco,70s
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,Jennifer Lopez,dance pop,2002,100,77,85,-5,6,96,188,1,19,70,True,pop,00s
Jambalaya (On The Bayou),Hank Williams,folk,1998,164,29,53,-11,7,89,172,71,3,58,True,folk,90s
Jambalaya (On The Bayou),Fats Domino,adult standards,1962,75,75,62,-10,26,97,146,80,5,53,True,adult standards,60s
Jailhouse Rock,Elvis Presley,rock-and-roll,1958,167,58,65,-10,7,92,146,41,8,68,True,rock,50s
Itchycoo Park (Mono Version) - 2012 Remaster,Small Faces,art rock,1967,127,56,61,-10,12,56,167,58,7,55,True,rock,60s
It's Too Late,Carole King,adult standards,1971,208,44,45,-13,13,81,233,49,4,68,True,adult standards,70s
It's Only Make Believe,Conway Twitty,arkansas country,1959,129,47,46,-10,14,25,132,86,6,55,True,country,50s
It's Not Unusual,Tom Jones,adult standards,1965,93,72,48,-10,18,91,120,60,6,70,True,adult standards,60s
It's In The Kiss (The Shoop Shoop Song),Betty Everett,brill building pop,2010,124,51,60,-9,71,92,130,90,5,52,True,pop,10s
It's All In The Game,Tommy Edwards,deep adult standards,1994,105,28,38,-14,31,65,159,4,3,52,True,adult standards,90s
It Takes Two,Marvin Gaye,classic soul,1966,151,48,52,-11,8,81,178,21,5,63,True,soul,60s
It Never Rains in Southern California,Albert Hammond,bubblegum pop,1972,117,56,63,-10,8,92,234,12,3,64,True,pop,70s
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,europop,1990,81,65,52,-7,26,72,259,34,3,75,True,pop,90s
It Doesn't Matter Anymore,Buddy Holly,adult standards,2006,115,25,63,-14,24,81,123,85,3,50,True,adult standards,00s
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,-7,9,52,221,12,7,76,True,dance,10s
Isn't She Lovely,Stevie Wonder,funk,1976,119,83,48,-7,32,82,394,18,9,67,True,funk,70s
Islands in the Stream,Dolly Parton,classic country pop,2016,204,52,61,-8,8,73,250,68,4,68,True,pop,10s
Irreplaceable,Beyoncé,dance pop,2007,176,69,45,-5,17,51,228,3,38,71,True,pop,00s
Ironic - 2015 Remaster,Alanis Morissette,canadian pop,1995,115,58,41,-8,16,37,230,22,5,71,True,pop,90s
Iris,The Goo Goo Dolls,alternative rock,1998,156,72,32,-8,9,50,290,0,4,79,True,rock,90s
Invisible Touch - Remastered 2007,Genesis,album rock,1986,131,94,62,-6,5,84,210,20,4,69,True,rock,80s
Into the Mystic - 2013 Remaster,Van Morrison,classic rock,1970,86,52,61,-10,12,80,206,37,3,72,True,rock,70s
Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14,37,244,2,11,76,True,pop,10s
"Independent Women, Pt. 1",Destiny's Child,dance pop,2001,98,60,73,-4,17,93,221,36,21,66,True,pop,00s
In the Name of Love,Martin Garrix,dance pop,2016,134,52,50,-6,45,17,196,11,4,77,True,pop,10s
In the Midnight Hour,Wilson Pickett,brill building pop,1965,112,44,75,-9,12,85,157,12,4,64,True,pop,60s
In the Ghetto,Elvis Presley,rock-and-roll,2007,87,41,45,-11,11,45,177,78,3,51,True,rock,00s
In My Head,Jason Derulo,dance pop,2010,110,75,76,-4,35,85,199,3,3,68,True,pop,10s
In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,77,True,pop,10s
Impossible,Shontelle,barbadian pop,2010,90,62,60,-4,13,54,227,39,3,69,True,pop,10s
If the World Was Ending (feat. Julia Michaels),JP Saxe,alt z,2019,76,47,46,-10,11,60,209,87,13,81,False,alt z,10s
If You Leave Me Now,Chicago,adult standards,1976,104,56,43,-7,13,28,235,2,3,74,True,adult standards,70s
If We Ever Meet Again (Featuring Katy Perry),Timbaland,dance pop,2009,126,61,65,-7,6,39,293,0,4,67,True,pop,00s
If It Makes You Happy,Sheryl Crow,lilith,1996,95,69,54,-7,11,30,325,4,3,60,False,lilith,90s
If I Were a Boy,Beyoncé,dance pop,2008,90,52,63,-6,35,43,249,11,3,60,True,pop,00s
If I Could Turn Back Time,Cher,dance pop,1989,108,57,66,-10,12,50,240,24,3,72,True,pop,80s
"If I Can't Have You - From ""Saturday Night Fever""",Yvonne Elliman,disco,1977,109,60,62,-12,86,91,178,46,4,50,False,disco,70s
If I Can't Have You,Shawn Mendes,canadian pop,2019,124,81,69,-4,15,86,191,52,6,75,True,pop,10s
IDGAF,Dua Lipa,dance pop,2017,97,54,84,-6,8,51,218,4,9,78,True,pop,10s
I've Got a Woman,Ray Charles,adult standards,1957,199,61,56,-5,26,67,171,83,21,67,True,adult standards,50s
I've Got You Under My Skin - Remastered 1998,Frank Sinatra,adult standards,1956,127,25,59,-13,11,59,224,45,4,68,True,adult standards,50s
I'm a Slave 4 U,Britney Spears,dance pop,2001,110,84,85,-4,11,96,204,42,11,71,True,pop,00s
I'm a Believer - 2006 Remaster,The Monkees,beatlesque,1967,80,78,53,-6,22,96,167,71,4,73,True,rock,60s
I'm Yours,Jason Mraz,acoustic pop,2008,151,43,69,-9,9,75,243,56,5,60,True,pop,00s
I'm Your Hoochie Coochie Man,Muddy Waters,blues,1977,114,59,54,-9,24,88,239,67,7,55,True,blues,70s
I'm Walkin',Fats Domino,adult standards,1962,109,56,73,-13,16,98,135,68,5,44,True,adult standards,60s
I'm Still Standing,Elton John,glam rock,1983,177,90,50,-7,14,77,183,36,18,81,True,rock,80s
I'm So Excited,The Pointer Sisters,dance pop,1982,184,87,59,-6,44,80,231,10,5,72,True,pop,80s
I'm Outta Love - Radio Edit,Anastacia,dance pop,1999,119,72,76,-6,8,65,245,40,6,44,True,pop,90s
I'm Not In Love,10cc,album rock,1975,134,52,40,-16,28,16,367,69,6,71,True,rock,70s
I'm Gonna Get Married,Lloyd Price,adult standards,1994,120,51,57,-9,13,63,143,77,3,44,True,adult standards,90s
I'm Gonna Be (500 Miles),The Proclaimers,celtic rock,2003,132,55,85,-5,8,81,219,15,4,72,True,rock,00s
I'm Every Woman,Whitney Houston,dance pop,1992,120,85,67,-8,13,40,285,2,5,61,True,pop,90s
I'm A Man,Bo Diddley,blues,1958,86,55,51,-16,17,83,165,33,4,57,True,blues,50s
I'll Stand by You,Pretenders,album rock,1994,134,61,44,-7,8,27,241,30,3,71,True,rock,90s
I'll Never Fall in Love Again,Dionne Warwick,adult standards,1970,137,34,68,-14,11,76,175,72,5,59,True,adult standards,70s
"I'll Be There for You - Theme From ""Friends""",The Rembrandts,pop rock,1995,191,92,32,-6,17,72,188,7,8,67,True,rock,90s
I'll Be There,Mariah Carey,dance pop,2001,81,52,41,-9,93,32,264,68,3,57,True,pop,00s
I'd Really Love to See You Tonight - 2012 Remaster,England Dan & John Ford Coley,adult standards,2012,119,77,58,-5,17,67,158,20,3,48,True,adult standards,10s
"I'd Do Anything For Love (But I Won't Do That) - Live From The Beacon Theatre, New York, U.S.A./1995",Meat Loaf,album rock,1995,76,55,27,-10,98,24,329,73,7,65,True,rock,90s
I Wish,Stevie Wonder,funk,1976,106,72,82,-10,7,89,252,8,5,65,True,funk,70s
I Will Always Love You,Whitney Houston,dance pop,1992,68,21,33,-13,8,11,271,85,3,77,True,pop,90s
I Will Always Love You,Dolly Parton,classic country pop,1974,136,14,45,-13,10,16,176,96,3,58,True,pop,70s
I Want to Know What Love Is - 1999 Remaster,Foreigner,album rock,1984,81,47,48,-10,13,42,305,19,3,78,True,rock,80s
I Want You to Want Me,Cheap Trick,album rock,1977,93,46,81,-13,15,74,191,78,3,70,True,rock,70s
I Want To Break Free - Remastered 2011,Queen,classic rock,1984,109,41,88,-11,12,78,199,8,4,68,True,rock,80s
I Want It That Way,Backstreet Boys,boy band,2001,99,70,69,-6,16,48,214,22,3,73,False,boy band,00s
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1987,119,82,71,-9,9,87,291,21,5,81,True,pop,80s
I Walk the Line,Johnny Cash,arkansas country,1970,99,26,71,-15,10,56,177,88,4,67,True,country,70s
I Try,Macy Gray,neo soul,1999,76,64,59,-7,8,74,239,31,3,73,True,soul,90s
I Swear,All-4-One,boy band,1994,83,41,53,-10,12,23,260,24,2,68,False,boy band,90s
I Still Haven't Found What I'm Looking For,U2,irish rock,1987,101,77,56,-9,9,66,277,1,4,76,True,rock,80s
I Shot The Sheriff,Eric Clapton,album rock,1974,94,64,73,-11,10,66,264,9,5,66,True,rock,70s
I Say a Little Prayer,Aretha Franklin,classic soul,2017,133,36,59,-14,6,50,217,48,4,58,True,soul,10s
I Saw the Light - 2015 Remaster,Todd Rundgren,album rock,1972,120,67,50,-12,17,58,180,21,3,63,True,rock,70s
I Saw The Light,Hank Williams,folk,1951,205,27,35,-11,15,49,166,95,3,26,True,folk,50s
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-6,28,59,205,1,4,70,True,pop,10s
I Only Want To Be With You,Dusty Springfield,adult standards,1964,133,68,60,-8,18,96,158,10,3,60,True,adult standards,60s
I Only Have Eyes for You,The Flamingos,doo-wop,1959,89,31,55,-12,12,30,203,92,3,61,True,r&b,50s
I Love Your Smile,Shanice,hip pop,1991,94,84,72,-9,18,75,258,1,13,61,True,pop,90s
I Love You Always Forever,Donna Lewis,new wave pop,1996,104,45,74,-12,9,12,240,63,3,70,True,pop,90s
I Know You Want Me (Calle Ocho),Pitbull,dance pop,2009,127,74,83,-6,24,80,237,1,15,60,True,pop,00s
I Knew You Were Waiting (For Me),Aretha Franklin,classic soul,2021,108,84,71,-6,38,71,240,23,5,62,True,soul,10s
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,3,68,220,0,4,78,True,pop,10s
I Knew I Loved You,Savage Garden,australian pop,1999,85,50,61,-10,9,74,250,32,3,69,True,pop,90s
I Kissed A Girl,Katy Perry,dance pop,2008,130,76,70,-3,13,70,180,0,7,70,True,pop,00s
I Heard It Through The Grapevine,Marvin Gaye,classic soul,1968,117,36,71,-11,13,62,194,27,4,72,True,soul,60s
I Have Nothing - Film Version,Whitney Houston,dance pop,2017,153,45,49,-9,9,17,296,76,3,57,True,pop,10s
I Guess That's Why They Call It The Blues,Elton John,glam rock,1983,121,66,67,-7,18,67,285,22,3,70,True,rock,80s
I Gotta Feeling,Black Eyed Peas,dance pop,2009,128,77,74,-6,51,61,289,9,3,80,True,pop,00s
I Got You Babe,UB40,reggae,1985,174,61,76,-13,11,86,189,8,7,66,True,reggae,80s
I Got You Babe,Sonny & Cher,adult standards,1991,111,71,62,-9,14,62,194,25,3,59,True,adult standards,90s
I Get A Kick Out Of You,Frank Sinatra,adult standards,1962,178,38,40,-11,58,78,194,56,4,57,True,adult standards,60s
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,45,73,-8,14,11,247,6,5,79,True,pop,10s
I Don't Want to Talk About It - 2008 Remaster,Rod Stewart,classic rock,1975,135,37,47,-13,15,46,288,87,3,68,True,rock,70s
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,album rock,1998,121,66,38,-5,25,14,299,17,3,74,True,rock,90s
I Don't Want A Lover,Texas,dance pop,1989,120,47,76,-13,13,43,301,20,4,62,True,pop,80s
I Don't Like Mondays,The Boomtown Rats,classic uk pop,1979,144,46,46,-7,15,48,259,72,4,65,True,pop,70s
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,80,-5,9,84,220,9,4,80,True,pop,10s
I Can't Stop Loving You,Ray Charles,adult standards,2009,79,28,31,-14,32,38,256,82,3,62,True,adult standards,00s
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,adult standards,1965,128,60,67,-9,11,97,160,25,3,73,True,adult standards,60s
I Can See Clearly Now,Johnny Nash,bubblegum pop,1972,124,53,68,-9,6,58,163,41,6,63,True,pop,70s
I Can Help,Billy Swan,swamp pop,1974,125,68,47,-9,23,53,238,51,5,49,True,pop,70s
I Can Dream About You,Dan Hartman,disco,2011,113,50,74,-14,4,90,250,5,5,62,False,disco,10s
I Am...I Said - Single Version,Neil Diamond,adult standards,1971,91,38,25,-14,11,51,213,14,3,63,True,adult standards,70s
I Am a Rock,Simon & Garfunkel,classic rock,1966,114,61,66,-10,11,75,170,42,4,60,True,rock,60s
Hurts So Good,John Mellencamp,album rock,1982,125,74,79,-5,11,97,219,4,4,71,True,rock,80s
Hungry Heart,Bruce Springsteen,classic rock,1980,110,89,64,-7,16,97,199,9,3,68,True,rock,80s
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,adult standards,1997,110,55,71,-9,12,55,251,1,3,73,True,adult standards,90s
Hung Up,Madonna,dance pop,2005,125,65,65,-8,7,41,338,0,5,75,True,pop,00s
How Will I Know,Whitney Houston,dance pop,1985,119,54,83,-13,63,93,276,20,4,71,True,pop,80s
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2016,181,54,31,-10,7,16,176,16,35,67,True,r&b,10s
How Do You Sleep?,Sam Smith,dance pop,2019,111,68,48,-5,8,35,202,15,9,77,True,pop,10s
How Deep Is Your Love,Take That,boy band,2005,100,45,79,-12,18,41,221,70,3,59,False,boy band,00s
How Deep Is Your Love,Bee Gees,disco,1979,105,36,63,-9,13,67,245,11,3,74,False,disco,70s
How Bizarre,OMC,nz pop,1996,125,71,77,-6,23,83,226,25,4,67,True,pop,90s
Hound Dog,Elvis Presley,rock-and-roll,1958,87,76,49,-8,76,95,136,73,5,68,True,rock,50s
Hotel California - 2013 Remaster,Eagles,album rock,1976,147,51,58,-9,6,61,391,1,3,83,True,rock,70s
Hot N Cold,Katy Perry,dance pop,2008,132,84,71,-4,7,86,220,0,4,71,True,pop,00s
Hot In Herre,Nelly,dance pop,2002,107,75,96,-5,6,91,228,21,12,74,True,pop,00s
Honky Tonk Women - Mono Version,The Rolling Stones,british invasion,1971,120,78,56,-7,7,97,179,36,6,64,True,rock,70s
Homeward Bound,Simon & Garfunkel,classic rock,1966,93,38,49,-12,10,53,150,83,3,65,True,rock,60s
Hollaback Girl,Gwen Stefani,dance pop,2004,110,92,93,-2,2,90,200,35,9,71,True,pop,00s
Holiday,Madonna,dance pop,1983,118,70,81,-9,5,73,232,3,5,59,True,pop,80s
Hold On,Wilson Phillips,girl group,1990,98,66,68,-10,5,55,267,40,3,70,True,girl group,90s
Hips Don't Lie (feat. Wyclef Jean),Shakira,colombian pop,2005,100,82,78,-6,41,76,218,28,7,82,True,pop,00s
Higher Love - Single Version,Steve Winwood,album rock,2007,99,89,70,-7,50,92,252,6,4,62,True,rock,00s
High,Lighthouse Family,europop,1997,102,63,66,-9,13,59,308,11,3,70,True,pop,90s
"Hey, Soul Sister",Train,dance pop,2010,97,89,67,-4,8,80,217,19,4,83,True,pop,10s
"Hey, Good Lookin'",Hank Williams,folk,1998,141,37,79,-10,7,91,174,80,4,59,True,folk,90s
Hey! Baby - Remastered,Bruce Channel,rock-and-roll,2017,64,62,52,-6,27,64,144,36,4,60,True,rock,10s
Hey Ya!,Outkast,atl hip hop,2003,80,97,73,-2,17,97,235,10,7,81,True,hip hop,00s
Hey Jude,Wilson Pickett,brill building pop,1969,82,39,56,-15,17,66,248,15,3,54,True,pop,60s
Hero,Mariah Carey,dance pop,1993,120,38,50,-9,12,18,258,74,3,71,True,pop,90s
Here You Come Again,Dolly Parton,classic country pop,1977,106,51,59,-9,4,55,179,65,4,65,True,pop,70s
Here I Go Again - 2018 Remaster,Whitesnake,album rock,1987,90,82,29,-7,16,24,275,1,4,70,True,rock,80s
Here Comes The Sun - Remastered 2009,The Beatles,beatlesque,1969,129,54,56,-10,18,39,186,3,3,82,True,rock,60s
Hello,Adele,british soul,2015,79,43,58,-6,9,29,296,33,3,77,True,soul,10s
Heaven Is a Place on Earth,Belinda Carlisle,new romantic,2013,123,85,64,-8,5,79,247,2,3,69,False,new romantic,10s
Heaven,Bryan Adams,album rock,1984,140,59,38,-7,12,34,243,5,3,76,True,rock,80s
Heartless,Kanye West,chicago rap,2008,88,65,79,-6,25,65,211,5,14,80,True,rap,00s
Heartbreak Hotel,Elvis Presley,rock-and-roll,1958,94,21,70,-12,11,72,128,84,7,60,True,rock,50s
Heart of Gold - 2009 Remaster,Neil Young,album rock,1972,171,46,54,-10,10,80,187,19,3,73,True,rock,70s
Heart Attack,Demi Lovato,dance pop,2013,174,79,50,-5,24,50,211,7,10,80,True,pop,10s
Heal the World,Michael Jackson,pop,1991,81,49,55,-8,10,10,384,54,5,68,True,pop,90s
He'll Have to Go,Jim Reeves,adult standards,1997,81,19,55,-16,11,20,139,91,4,53,True,adult standards,90s
He Ain't Heavy He's My Brother - 1998 Remaster,The Hollies,album rock,1970,76,42,30,-8,16,22,262,46,3,61,True,rock,70s
Haven't Met You Yet,Michael Bublé,adult standards,2009,123,73,62,-5,11,80,245,15,3,72,True,adult standards,00s
Have You Ever Seen The Rain,Creedence Clearwater Revival,classic rock,1970,116,70,74,-7,13,77,160,7,3,79,True,rock,70s
